Player,Team,Depth,Value,Explanation
Terry McLaurin,Washington Commanders,WR1,1.0,Healthy alpha
Jahan Dotson,Washington Commanders,WR2,1.0,Healthy starter
Amari Cooper,Cleveland Browns,WR2,1.0,Contract year, healthy
Elijah Moore,Cleveland Browns,WR3,1.0,Healthy
Cedric Tillman,Cleveland Browns,WR4,1.0,Healthy, year 2
Keenan Allen,Chicago Bears,WR1,1.0,Veteran, healthy
Rome Odunze,Chicago Bears,WR2,1.0,Top rookie, healthy
Darnell Mooney,Chicago Bears,WR3,1.0,Healthy
Tyler Scott,Chicago Bears,WR4,1.0,Speed, healthy
Rashid Shaheed,New Orleans Saints,WR2,1.0,Big-play threat, healthy
Tylan Wallace,Baltimore Ravens,WR5,1.0,Special teams, healthy
Chris Moore,Tennessee Titans,WR1,1.0,Starter, healthy
Tyler Boyd,Tennessee Titans,WR2,1.0,Vet, healthy
Treylon Burks,Tennessee Titans,WR3,0.8,Injury risk, hamstring
DeAndre Hopkins,Tennessee Titans,WR4,1.0,Rotation/mentor, healthy
Jaylen Hyatt,New York Giants,WR1,1.0,Second-year, healthy
Wan'Dale Robinson,New York Giants,WR2,1.0,Healthy
Darius Slayton,New York Giants,WR3,1.0,Healthy, veteran
Isaiah Hodgins,New York Giants,WR4,1.0,Depth, healthy
Joshua Palmer,Los Angeles Chargers,WR1,1.0,Starter by default, healthy
Jalen Guyton,Los Angeles Chargers,WR5,1.0,Depth, healthy
Rashod Bateman,Baltimore Ravens,WR2,1.0,Healthy, post-injury
Josh Downs,Indianapolis Colts,WR2,1.0,Slot, healthy
